2026-07-05 15:13:35,720 | INFO | app.py | Application Started
2026-07-05 15:13:35,753 | INFO | app.py | Application Loaded Successfully
2026-07-05 15:50:56,590 | INFO | pdf_loader.py | Opening PDF
2026-07-05 15:52:33,612 | INFO | pdf_loader.py | Opening PDF
2026-07-05 15:52:33,679 | INFO | pdf_loader.py | Total Pages : 279
2026-07-05 15:52:34,190 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-05 15:52:34,200 | INFO | app.py | PDF Preview Loaded
2026-07-05 15:52:44,897 | INFO | pdf_loader.py | Opening PDF
2026-07-05 15:52:44,897 | INFO | pdf_loader.py | Total Pages : 279
2026-07-05 15:52:45,415 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-05 15:52:45,423 | INFO | app.py | PDF Preview Loaded
2026-07-05 15:52:48,164 | INFO | pdf_loader.py | Opening PDF
2026-07-05 15:52:48,164 | INFO | pdf_loader.py | Total Pages : 279
2026-07-05 15:52:48,730 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-05 15:52:48,748 | INFO | app.py | PDF Preview Loaded
2026-07-05 15:54:25,644 | INFO | pdf_loader.py | Opening PDF
2026-07-05 15:54:25,648 | INFO | pdf_loader.py | Total Pages : 279
2026-07-05 15:54:26,130 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-05 15:54:26,162 | INFO | app.py | PDF Preview Loaded
2026-07-05 15:54:33,310 | INFO | pdf_loader.py | Opening PDF
2026-07-05 15:54:33,337 | INFO | pdf_loader.py | Total Pages : 279
2026-07-05 15:54:33,821 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-05 15:54:33,825 | INFO | app.py | PDF Preview Loaded
2026-07-05 15:54:41,829 | INFO | pdf_loader.py | Opening PDF
2026-07-05 15:54:41,835 | INFO | pdf_loader.py | Total Pages : 279
2026-07-05 15:54:42,263 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-05 15:54:42,272 | INFO | app.py | PDF Preview Loaded
2026-07-05 15:54:48,267 | INFO | pdf_loader.py | Opening PDF
2026-07-05 15:54:48,272 | INFO | pdf_loader.py | Total Pages : 279
2026-07-05 15:54:48,637 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-05 15:54:48,641 | INFO | app.py | PDF Preview Loaded
2026-07-05 15:54:50,472 | INFO | pdf_loader.py | Opening PDF
2026-07-05 15:54:50,485 | INFO | pdf_loader.py | Total Pages : 279
2026-07-05 15:54:50,916 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-05 15:54:50,922 | INFO | app.py | PDF Preview Loaded
2026-07-05 15:54:55,935 | INFO | pdf_loader.py | Opening PDF
2026-07-05 15:54:55,941 | INFO | pdf_loader.py | Total Pages : 279
2026-07-05 15:54:56,350 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-05 15:54:56,353 | INFO | app.py | PDF Preview Loaded
2026-07-11 10:17:32,499 | INFO | pdf_loader.py | Opening PDF
2026-07-11 10:17:32,542 | INFO | pdf_loader.py | Total Pages : 279
2026-07-11 10:17:32,982 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-11 10:17:51,394 | INFO | chunker.py | Chunking Started...
2026-07-11 10:17:51,645 | INFO | chunker.py | Generated 246 chunks.
2026-07-11 10:17:58,549 | INFO | pdf_loader.py | Opening PDF
2026-07-11 10:17:58,556 | INFO | pdf_loader.py | Total Pages : 279
2026-07-11 10:17:59,074 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-11 10:17:59,084 | INFO | chunker.py | Chunking Started...
2026-07-11 10:17:59,210 | INFO | chunker.py | Generated 246 chunks.
2026-07-11 10:18:08,805 | INFO | pdf_loader.py | Opening PDF
2026-07-11 10:18:08,829 | INFO | pdf_loader.py | Total Pages : 279
2026-07-11 10:18:09,298 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-11 10:18:09,298 | INFO | chunker.py | Chunking Started...
2026-07-11 10:18:09,545 | INFO | chunker.py | Generated 246 chunks.
2026-07-11 10:25:23,568 | INFO | pdf_loader.py | Opening PDF
2026-07-11 10:25:23,576 | INFO | pdf_loader.py | Total Pages : 279
2026-07-11 10:25:23,911 | INFO | pdf_loader.py | Loaded 246 pages successfully
2026-07-11 10:25:23,911 | INFO | chunker.py | Chunking Started...
2026-07-11 10:25:23,918 | INFO | chunker.py | Page 1 has 10 tokens
2026-07-11 10:25:23,918 | INFO | chunker.py | Page 2 has 38 tokens
2026-07-11 10:25:23,918 | INFO | chunker.py | Page 3 has 221 tokens
2026-07-11 10:25:23,918 | INFO | chunker.py | Page 4 has 206 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 6 has 193 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 7 has 176 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 8 has 34 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 9 has 372 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 10 has 249 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 11 has 225 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 12 has 263 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 13 has 62 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 14 has 57 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 15 has 171 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 16 has 337 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 17 has 313 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 18 has 271 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 19 has 282 tokens
2026-07-11 10:25:23,921 | INFO | chunker.py | Page 20 has 306 tokens
2026-07-11 10:25:23,934 | INFO | chunker.py | Page 22 has 414 tokens
2026-07-11 10:25:23,934 | INFO | chunker.py | Page 23 has 320 tokens
